Repository;Ontology;CreationDate;Format;Filename;Done;OQUARE.xml;OQUARE.ttl;HURON_long.tsv;HURON_wide.tsv;HURON.ttl;FILE_OK;IRIOquare;IRIHuron;IRI_OK;OK;Length;URL
data.bioontology.org;TIMEBANK;20200805;OWL;timebank-20200805-owl__ontology.rdf;T;T;T;T;T;T;T;https://w3id.org/timebank/0.3;https://w3id.org/timebank/0.3;T;T;123194;https://data.bioontology.org/ontologies/TIMEBANK/submissions/2
data.bioontology.org;TMO;20160516;OWL;tmo-20160516-owl__tmo.owl;T;F;F;T;T;T;F;;http://www.w3.org/2001/sw/hcls/ns/transmed/tmo;F;F;135280;https://data.bioontology.org/ontologies/TMO/submissions/13
data.bioontology.org;TTO;20180122;OWL;tto-20180122-owl__tto.owl;T;T;T;T;T;T;T;http://purl.obolibrary.org/obo/tto.owl;http://purl.obolibrary.org/obo/tto.owl;T;T;70851141;https://data.bioontology.org/ontologies/TTO/submissions/44
data.bioontology.org;UBERON;20240322;OWL;uberon-20240322-owl__uberon.owl;T;F;F;T;T;T;F;;http://purl.obolibrary.org/obo/uberon/releases/2024-03-22/uberon.owl;F;F;91151350;https://data.bioontology.org/ontologies/UBERON/submissions/343
data.bioontology.org;UO;20230809;OWL;uo-20230809-owl__uo.owl;T;T;T;T;T;T;T;http://purl.obolibrary.org/obo/uo/releases/2023-05-25/uo.owl;http://purl.obolibrary.org/obo/uo/releases/2023-05-25/uo.owl;T;T;559907;https://data.bioontology.org/ontologies/UO/submissions/220
data.bioontology.org;UPHENO;20211118;OWL;upheno-20211118-owl__upheno.owl;T;F;F;T;T;T;F;;http://purl.obolibrary.org/obo/upheno.owl;F;F;1132;https://data.bioontology.org/ontologies/UPHENO/submissions/4
data.bioontology.org;VANDF;20240131;UMLS;vandf-20240131-umls__VANDF.ttl;T;T;T;T;T;T;T;http://purl.bioontology.org/ontology/VANDF/;http://purl.bioontology.org/ontology/VANDF/;T;T;66435191;https://data.bioontology.org/ontologies/VANDF/submissions/23
data.bioontology.org;VARIO;20200904;OBO;vario-20200904-obo__vario.obo;T;T;T;T;T;T;T;http://purl.obolibrary.org/obo/vario-20200904-obo__vario.obo;http://purl.obolibrary.org/obo/vario.owl;T;T;110673;https://data.bioontology.org/ontologies/VARIO/submissions/16
data.bioontology.org;VBO;20240427;OWL;vbo-20240427-owl__vbo.owl;T;T;T;T;T;T;T;http://purl.obolibrary.org/obo/vbo/releases/2024-04-18/vbo.owl;http://purl.obolibrary.org/obo/vbo/releases/2024-04-18/vbo.owl;T;T;61883492;https://data.bioontology.org/ontologies/VBO/submissions/1
data.bioontology.org;VDOT;20210111;OWL;vdot-20210111-owl__vdot-core.owl;T;F;F;T;T;T;F;;http://www.ifomis.org/vdot/vdot_core.owl;F;F;117704;https://data.bioontology.org/ontologies/VDOT/submissions/35
data.bioontology.org;VHOG;20231121;OBO;vhog-20231121-obo__vHOG.obo;T;T;T;T;T;T;T;http://purl.obolibrary.org/obo/vhog-20231121-obo__vHOG.obo;http://purl.obolibrary.org/obo/TEMP;F;F;270799;https://data.bioontology.org/ontologies/VHOG/submissions/13
data.bioontology.org;VICO;20160130;OWL;vico-20160130-owl__vico-merged.owl;T;T;T;T;T;T;T;http://purl.obolibrary.org/obo/VICO_merged.owl;http://purl.obolibrary.org/obo/VICO_merged.owl;T;T;1264526;https://data.bioontology.org/ontologies/VICO/submissions/10
data.bioontology.org;VIO;20190429;OWL;vio-20190429-owl__vio-merged.owl;T;T;T;T;T;T;T;http://purl.obolibrary.org/obo/vo/vio.owl;http://purl.obolibrary.org/obo/vo/vio.owl;T;T;284221;https://data.bioontology.org/ontologies/VIO/submissions/1
data.bioontology.org;VIVO;20180717;OWL;vivo-20180717-owl__vivo.owl;T;F;F;T;T;T;F;;http://vivoweb.org/ontology/core;F;F;729930;https://data.bioontology.org/ontologies/VIVO/submissions/3
data.bioontology.org;VIVO-ISF;20150913;OWL;vivo-isf-20150913-owl__vivo-isf-public-1.6.owl;T;T;T;T;T;T;T;http://vivoweb.org/ontology/core;http://vivoweb.org/ontology/core;F;F;746182;https://data.bioontology.org/ontologies/VIVO-ISF/submissions/1
data.bioontology.org;VO;20240409;OWL;vo-20240409-owl__vo.owl;T;F;F;T;T;T;F;;http://purl.obolibrary.org/obo/vo/releases/2024-04-09/vo.owl;F;F;10993615;https://data.bioontology.org/ontologies/VO/submissions/291
data.bioontology.org;VSAO;20180221;OBO;vsao-20180221-obo__vsao.owl;T;T;T;T;T;T;T;http://purl.obolibrary.org/obo/vsao/2012-11-06/vsao.owl;http://purl.obolibrary.org/obo/vsao/2012-11-06/vsao.owl;T;T;600603;https://data.bioontology.org/ontologies/VSAO/submissions/21
