ontologyAcronym,metricAcronym,result
EFO,TMOnto2,2.418901E0
EFO,WMCOnto,2.692468E1
EFO,WMCOnto2,3.013311E0
EOL,ANOnto,9.985528E-1
EOL,APWND,1.0E0
EOL,APWNN,1.0E0
EOL,APWNS,1.0E0
EOL,AROnto,0.0E0
EOL,CBOOnto,1.017391E0
EOL,CROnto,1.997106E0
EOL,CWND,0.0E0
EOL,CWNN,0.0E0
EOL,CWNS,5.608696E-1
EOL,DITOnto,1.2E1
EOL,DPWND,NaN
EOL,DPWNN,NaN
EOL,DPWNS,NaN
EOL,DxC,1.0E0
EOL,DxDP,NaN
EOL,DxOP,NaN
EOL,DxP,0.0E0
EOL,INROnto,1.015919E0
EOL,LCOMOnto,7.193159E0
EOL,LRClassPCT,0.0E0
EOL,LRsxC,4.347826E-3
