"Description","ANOnto","APWND","APWNN","APWNS","AROnto","CBOOnto","CROnto","CWND","CWNN","CWNS","DITOnto","DxC","DxP","INROnto","LCOMOnto","LRClassPCT","LRsxC","NACOnto","NLR","NLRC","NOCOnto","NOMOnto","NxC","NxP","POnto","PROnto","RFCOnto","RROnto","SxAP","SxC","SxP","TMOnto","TMOnto2","WMCOnto","WMCOnto2"
"CTCAE",0.9997531,1,1,1,0,1,0,1,0,1,5,0,0,0.9997531,3.998117,0,0.00271672,1,11,0,4.686343,0,1,0,0.9995062,0,0.9997531,1,0,0,0,0,0,3.998117,1
"CTENO",0.255988,0.7,0.6,1,93.6482,1.88959,0,0.7585139,0.04024768,0.8560372,15,0.2843895,0.4137931,1.215569,7.287736,0,0,1.209845,0,0,2.879433,0.3428144,0.9598145,0.6896552,1.179641,0.2199808,2.136228,0.7800192,0,0.2565688,0.137931,0.155922,2.355769,16.01036,2.196891
"DATACITE",1.52381,1,1,1,14.2381,1.294118,3.333333,0.1052632,0.1052632,1,7,0.8947368,0.35,1.047619,3.933333,0.3684211,0.6842105,1.090909,13,7,2.2,4.714286,0.8947368,0.35,0.6666667,0.8181818,5.761905,0.1818182,0,0,0,0,0,5.363636,1.363636
"DDANAT",1.075758,1,0.6,1,4.962121,1,0.007575758,0,0,0.3129771,5,1.129771,0,0.9924242,3.825243,0.02290076,0.1221374,1,16,3,4.517241,1.719697,1,0.4444444,0.9848485,0.6340782,2.712121,0.3659218,0,0.8625954,0,0,0,3.825243,1
"DDIEM",0.1009615,0.75,0.75,1,0,0.9951923,0,0,0,1,14,1,0.25,0.9951923,6.673759,0.1363636,2.909091,1,64,3,3.089552,0,1,0.25,0.1009615,0,0.9951923,1,0,0,0,0,0,6.673759,1
"DDPHENO",1.055511,1,0.625,1,0,1.427165,0.0007930214,0,0,0.4655512,12,1.088583,0,1.149881,5.200683,0,0.01377953,1.173141,14,0,4.027778,0,1,0.375,0.9587629,0,1.149881,1,0,0.7874016,0,0.15,2.026455,6.759156,1.299667
"DERMO",1.007876,1,0.5454545,1,4.998541,1.125257,0.0002917153,0.9406057,0,0.6598059,13,0.05998236,0,1.116394,6.862975,0,0,1.108696,0,0,4.054025,0.05280047,1,0.5384615,1.113477,0.04515968,1.169195,0.9548403,0,0.612761,0,0.1050481,2.158333,9.880032,1.439614
"DISDRIV",0.9473684,0.125,0,1,3.789474,1,0,0.1666667,0,1,5,0.8333333,0.6666667,0.9473684,3.090909,0,0.2222222,1,4,0,2.25,0.2105263,1,1,0.8947368,0.1818182,1.157895,0.8181818,0,0,0,0,0,3.090909,1
"DOID",0.7612341,0.03636364,0,1,38.05311,1.483497,0,0.2594716,0,0.3712714,29,0.8114976,0.8857143,1.285261,6.972129,7.747734e-05,0.0001549547,1.310405,2,1,4.988734,0.50086,1,1.071429,0.8645453,0.2804177,1.786121,0.7195823,0,1.46866,0,0.2286728,2.066055,15.01549,2.153646
"DUO",0.1824104,0.6111111,0.5555556,1,26.5798,1.009836,0,0.1380471,0.006734007,0.7777778,12,0.9360269,0.5263158,1.003257,6.098712,0,0,1.008658,0,0,4.052632,0.01302932,0.993266,0.4736842,0.9771987,0.01282051,1.016287,0.9871795,0,0.6094276,0,0.003267974,2,6.151515,1.008658
"ECG",1.156584,1,1,1,60.22331,1.031418,0,0.1612903,0.00921659,1,13,0.8497696,0.4683544,1.022242,5.321814,0,0,1.017606,0,0,4.224265,0.1494662,0.9907834,0.9113924,0.9813167,0.1275626,1.171708,0.8724374,0,0,0,0.02315227,2.076923,5.784038,1.086854
"ECO",1.081211,0.775,0.7,1,5.997117,1.733693,0.0004805382,0.001469148,0.001469148,0.6821743,11,1.083252,0.2666667,1.698703,6.512928,0.00244858,0.01322233,1.989691,27,5,3.486193,0.6314272,0.9985309,0.3111111,1.666987,0.2709837,2.33013,0.7290163,0,0.4902057,0,0.6615385,2.044331,36.3552,5.582006
"EDAM",1.165001,0.9605263,0.7105263,0.9210526,4.950614,1.299314,0.0008564088,0.7828092,0.0004192872,0.5685535,10,0.2389937,0.1797753,1.297459,3.997271,0.001257862,0.001677149,1.310175,4,3,6.960184,0.1832715,0.9995807,0.3820225,1.31002,0.123771,1.480731,0.876229,0.1184211,1.115723,0.2022472,0.2775557,2.123457,6.168421,1.543158
"EDEM-CONNECTONTO",1.987552,1,1,1,3.224066,1.016949,0.9958506,0,0.004166667,1,6,1,0,0.9958506,3.582915,0,0.004166667,1,1,0,5.714286,1.149378,0.9958333,0,0.9751037,0.5357834,2.145228,0.4642166,0,0,0,0,0,3.582915,1
"EFO",1.034003,0.8875,0.7,1,74.84473,1.462279,0,0.1529613,0,0.4011812,21,0.9309997,0.2382979,1.293469,8.935248,6.173602e-05,0.0002057867,1.247168,10,3,8.819412,0.3580166,1.007285,0.5462185,1.29569,0.2167846,1.651485,0.7832154,0,2.753077,0.0212766,0.2084099,2.418901,26.92468,3.013311
"ELTER_CL",0,1,1,1,0,4,116.2,1,1,1,2,0,0,0.8,1,0,0,1,0,0,4,0,0,0,0,0,0.8,1,0,0,0,0,0,1,1
"EMAPA",0.9176551,1,0.6111111,1,9,2.059161,0,0.9734801,0,0.878659,11,0.02651989,0,1.024179,2.503316,0,0.0001250938,1.019513,1,0,8.307123,2.017792,1,0.5925926,0.6101734,0.6633173,3.041971,0.3366827,0,0.1557418,0,0.02247063,2.081218,2.700663,1.078834
"ENVTHES",0,1,1,1,0,3,1444.5,1,1,1,2,0,0,0.75,1,0,0,1,0,0,3,0,0,0,0,0,0.75,1,0,0,0,0,0,1,1
"EPSO",0.787037,1,1,1,57.10926,1.000463,0.0009259259,0.7656322,0.4951366,1,20,0.3006021,0,0.999537,7.283815,0,0,1,0,0,5.02093,0.3782407,0.6141732,0.04615385,0.9990741,0.2745296,1.377778,0.7254704,0,0,0,0,0,7.283815,1
"EUPATH",1.017221,0.3032787,0.2540984,0.8278689,83.58337,1.086922,0.01800391,0.2778828,0.0002100399,0.652594,26,0.7353497,0.7580645,1.086497,9.67027,0,0.0008401596,1.090092,4,0,4.190189,0.7338552,1.00126,0.7560976,1.086497,0.4031391,1.820352,0.5968609,0.1941748,0.7655955,0.1774194,0.0812292,2.06747,12.28904,1.270806
"EXO",0.9868421,1,0.6,1,10.92763,1.226562,0.006578947,0.02649007,0,0.6754967,8,0.9735099,0.03571429,1.032895,4.622222,0,0,1.033058,0,0,5.064516,0.3486842,1,0.5,0.875,0.252381,1.381579,0.747619,0,0.6291391,0,0.0397351,2,6.876033,1.487603
"FALDO",1.684211,1,1,1,7.526316,1.428571,0,0.1111111,0.1666667,1,4,0.9444444,0.6470588,1.052632,2.461538,0.05555556,0.3888889,1.181818,7,1,2.5,1.947368,0.8333333,0.5882353,0.9473684,0.6491228,3,0.3508772,0,0,0,0.1111111,2,2.909091,1.181818
"FAO",0.9669421,1,0.5909091,1,2.876033,1.128205,0,0.008849558,0,0.7345133,9,1.00885,0,1.090909,5.077778,0.01769912,0.01769912,1.105263,2,2,2.933333,0.2727273,1,0.48,1.016529,0.2,1.363636,0.8,0,0.380531,0,0.1,2,6.013158,1.184211
